ZIP,Total_Population,Median_Age,Male_Population,Female_Population,White,Black,American_Indian_Alaska_Native,Asian,Native_Hawaiian_Pacific_Islander,Other_Race,Two_or_More_Races,Median_Household_Income,Poverty_Total,Below_Poverty,Total_Educ_25plus,Bachelor_Degree,Advanced_Degree,Median_Home_Value,Median_Gross_Rent,Total_Housing_Units,Owner_Occupied,Renter_Occupied,Total_Labor_Force,Not_in_Labor_Force,Employed,Unemployed,Median_Travel_Time,Total_With_Disability,No_Health_Insurance,Vehicles_Available,Total_Language_Population,Foreign_Born,Median_Earnings,Households_with_Broadband,Median_Year_Built
10001,25026,36.1,12265,12761,15880,1619,11,5201,63,833,1419,96787,24140,2798,19550,1307,8571,403800,2169,15365,3600,9711,22456,16643,16643,755,13715,25026,0,13311,,7186,91304,12224,1967
10002,74363,44.8,36656,37707,23574,6645,713,31140,0,7944,4347,35607,73597,20257,58942,8972,14061,696900,979,36530,4895,28895,65543,34864,34864,2385,29149,73993,0,33790,,30520,40670,21723,1952
10003,54671,31.9,26671,28000,39951,2759,112,8244,69,1329,2207,129981,45570,4040,38411,1710,17347,989500,2437,29977,8688,16470,51095,34731,34721,1555,28033,54514,0,25158,,10301,91439,22492,0
10004,3310,38.4,1567,1743,2259,160,0,674,12,13,192,204949,3310,93,2899,55,1324,1892400,3393,2306,697,1125,3071,2626,2626,87,1928,3310,0,1822,,674,121875,1804,0
10005,8664,30.4,4131,4533,6326,174,0,1514,0,214,436,184681,8664,653,6698,278,3451,1159600,3501,5979,735,3914,7802,7230,7230,166,6546,8664,0,4649,,1532,120940,4623,0
10006,3260,33.1,1436,1824,2291,156,0,561,0,65,187,185268,3260,205,2675,48,1109,941300,3371,2219,347,1464,2918,2455,2455,97,2036,3260,0,1811,,918,106550,1777,0
10007,7566,34.4,4152,3414,5784,623,0,882,0,178,99,250001,6694,100,5676,214,2812,2000001,3501,3652,997,1943,6223,4320,4320,61,3714,6765,0,2940,,1693,131618,2873,1985
10009,58267,37.0,27362,30905,34556,4581,80,8749,6,6122,4173,68220,58212,14134,46500,5062,17188,476000,1706,31277,2169,27187,52808,32454,32454,1268,27158,58255,0,29356,,13916,73198,22146,1946
10010,34763,36.1,17214,17549,23667,3810,0,5231,0,779,1276,139188,32321,3259,26193,2230,9757,966500,2502,19155,4999,11500,30374,20946,20907,843,17135,34692,0,16499,,7129,102100,15000,1960
10011,50228,41.9,25435,24793,39014,2303,26,4477,7,1704,2697,136208,48479,4706,41745,1573,16799,1084700,2281,34105,11095,17680,46354,34465,34441,1117,28033,50040,0,28775,,11797,105081,26922,0
10012,23034,35.0,10971,12063,17165,613,0,3981,0,308,967,110490,21814,2397,18392,739,8528,1731700,2293,14779,2250,10324,21458,15772,15767,637,12687,23029,0,12574,,6028,83007,11492,0
10013,28657,39.2,14345,14312,17734,940,30,8115,0,568,1270,130675,26826,2352,21806,1296,8846,2000001,1946,14756,3305,8989,24381,16093,16093,488,12454,27967,0,12294,,9469,95271,10614,0
10014,29071,38.2,14400,14671,25470,484,13,1231,0,184,1689,136154,28730,1666,25001,1175,11412,1221600,2464,20877,4928,12211,26920,21238,21238,1469,16795,29054,0,17139,,4774,105985,16401,0
10016,52912,32.4,25550,27362,36986,1764,83,9767,31,600,3681,124647,51681,3951,42003,1499,17519,871400,2760,35125,7683,21322,48302,36537,36465,1431,30871,52597,0,29005,,13893,102476,26204,1965
10017,16065,40.9,7236,8829,11723,437,4,3240,0,156,505,130417,16048,1138,13656,388,5528,752800,2370,12880,3557,6301,14996,11396,11396,526,9517,16065,0,9858,,5521,98047,9429,1959
10018,8135,33.4,4299,3836,4693,310,15,2492,0,291,334,136360,8118,953,6914,434,2682,680200,3287,5154,566,3755,7662,5913,5905,229,5032,8127,0,4321,,3670,100009,4014,2002
10019,45521,39.5,24381,21140,30126,2453,263,8496,35,2367,1781,101651,45366,5389,39713,3263,14714,947500,2050,33471,6231,21109,42590,30937,30937,1595,25099,45450,0,27340,,14680,94496,24950,1967
10021,42253,42.4,18885,23368,35183,119,373,4718,121,970,769,130968,41742,2193,33867,1957,12139,1492900,2363,29204,10153,11931,36133,24464,24464,761,20691,41904,0,22084,,7664,90751,20797,1961
10022,31574,48.1,14783,16791,26359,435,47,3417,0,476,840,138661,31123,1581,26977,1326,9927,999100,2540,23942,8776,9201,28544,19915,19915,502,16017,31574,0,17977,,6325,103678,16898,1959
10023,62228,42.9,27356,34872,48343,2776,39,6973,0,2013,2084,137347,60625,4010,50025,2200,17825,1450300,2413,41828,13344,20426,54494,37322,37322,1598,29693,62228,0,33770,,15486,102094,31739,1947
10024,60714,41.2,26161,34553,50515,1773,164,4107,0,2523,1632,137126,60051,4803,48391,2360,17308,1743700,2536,34929,10802,18048,51066,36324,36324,906,28373,60174,0,28850,,11446,94064,26938,0
10025,92162,40.6,42316,49846,59085,9754,57,9188,9,7119,6950,99067,87706,13105,70161,4948,20720,1055900,1621,47372,12531,27657,80628,51194,51194,2988,39081,91175,0,40188,,23182,72535,35233,0
10026,38937,35.4,18141,20796,9971,20310,99,2411,0,3623,2523,64716,38591,7921,27757,4583,6927,940300,1278,16910,2935,12427,32091,21542,21542,1184,17914,38717,0,15362,,10215,50986,13127,1951
10027,64728,31.1,30474,34254,19471,25429,393,5512,6,10258,3659,57010,57849,13049,42603,7197,10380,730300,1274,26597,3138,20697,54468,31931,31927,2189,25142,64580,0,23835,,16000,49558,19519,0
10028,47962,40.0,21263,26699,40441,847,0,4990,0,521,1163,131013,47947,2524,38675,1752,13589,1301100,2373,29193,8410,16564,41329,30125,30125,1162,24528,47947,9,24974,,9340,97231,23524,1955
10029,74617,37.2,33488,41129,23188,23400,549,8142,125,16062,3151,33801,71942,22366,53026,10150,9399,651300,974,35038,2136,29349,62100,33103,33065,3173,27091,73773,0,31485,,18195,42440,24453,1963
10030,30996,36.4,13574,17422,5412,18542,44,1147,3,3610,2238,45555,30893,8250,22696,3302,4101,659300,1073,14119,1748,11069,25565,16569,16564,1725,13344,30981,0,12817,,7565,39900,10935,1942
10031,60280,34.8,29865,30415,17993,17271,349,2361,36,12606,9664,55721,60195,14089,44879,7507,9353,494100,1503,23809,3011,18852,51718,36134,36114,2658,28719,60236,0,21863,,22235,37314,18909,0
10032,59527,36.3,29645,29882,16262,10803,374,2542,89,22563,6894,53690,58425,10840,45563,5842,9899,500800,1296,23439,2113,19701,52956,35136,35136,3449,28418,59289,15,21814,,27576,33375,17512,0
10033,58648,35.5,30266,28382,23458,5118,1346,1470,0,19156,8100,66902,57675,9704,43326,5967,9680,530600,1502,21007,2466,17223,49590,34311,34311,3356,27392,58632,14,19689,,25490,39346,17189,0
10034,41933,36.4,20137,21796,14749,5837,86,1257,81,15761,4162,63556,41780,7207,30644,4497,6600,397500,1395,16677,1368,14406,34903,23972,23972,1398,19978,41912,0,15774,,17006,40295,13306,0
10035,36999,36.3,18056,18943,7743,14458,164,1361,5,11239,2029,28408,35795,12543,26393,5195,4605,642700,882,15730,1226,13514,30531,15459,15459,1311,13003,36006,0,14740,,8854,41996,9887,1969
